# tier	sv-identifier	en-identifier	freq	nfiles	provenance  (fill col 3; whole-identifier rename; focus T1+T2)
T1-RENAME	Grönsak		95	11	code|env|inline
T1-RENAME	ärRutten		16	3	code|env|inline
T1-RENAME	slumpgrönsak		15	4	code|env|inline
T1-RENAME	ärSkalad		14	4	code
T1-RENAME	kastaTärningTillsAllaUtfallUtomEtt		7	2	code|env
T1-RENAME	skörd		6	2	code|env
T1-RENAME	monster		5	2	code|env
T1-RENAME	summa		4	3	code|env
T1-RENAME	ärÄtvärd		4	2	code|inline
T1-RENAME	ätvärda		4	2	code|env
T1-RENAME	_isEatenByMonster		2	1	code
T1-RENAME	BaklängesHandler		2	1	code
T1-RENAME	eatenByMonster		1	1	code
T1-RENAME	isEatenByMonster		1	1	code
T2-INLINE	hej		209	18	env|inline
T2-INLINE	Färg		65	4	env|inline
T2-INLINE	öka		56	7	env|inline
T2-INLINE	grönsaker		34	3	env|inline
T2-INLINE	vänster		24	5	env|inline
T2-INLINE	Punkt		22	4	env|inline
T2-INLINE	Klöver		21	3	env|inline
T2-INLINE	höger		20	5	env|inline
T2-INLINE	Hjärter		18	3	env|inline
T2-INLINE	ärMullvadsmat		18	2	env|inline
T2-INLINE	ärÄtbar		18	2	env|inline
T2-INLINE	poäng		17	1	inline
T2-INLINE	skrikBaklänges		16	2	env|inline
T2-INLINE	läte		14	1	env|inline
T2-INLINE	och		14	9	env|inline
T2-INLINE	väsnas		14	1	env|inline
T2-INLINE	vårHemlis		14	2	env|inline
T2-INLINE	kvadrat		13	2	env|inline
T2-INLINE	värde		13	5	env|inline
T2-INLINE	fleraAnrop		12	3	env|inline
T2-INLINE	parafärg		12	1	env|inline
T2-INLINE	slösaSpara		12	1	env|inline
T2-INLINE	Veterinär		12	1	env|inline
T2-INLINE	förnamn		11	5	env|inline
T2-INLINE	räknaLäte		11	1	env|inline
T2-INLINE	ärFlygkunnig		11	1	env|inline
T2-INLINE	färg		10	4	env|inline
T2-INLINE	längd		10	4	env|inline
T2-INLINE	ärSimkunnig		10	1	env|inline
T2-INLINE	ålder		10	4	env|inline
T2-INLINE	hälsa		9	4	env|inline
T2-INLINE	grön		6	4	env|inline
T2-INLINE	görDettaTvåGånger		6	2	env|inline
T2-INLINE	Kråga		6	1	env|inline
T2-INLINE	skapaDjur		6	1	env|inline
T2-INLINE	ärRaktUnderUppgången		6	2	env|inline
