URL;Dir.avk.;P/E;P/S
https://www.avanza.se/aktier/om-aktien.html/26268/aak;1.31;26.29;1.23
https://www.avanza.se/aktier/om-aktien.html/5447/abb-ltd;3.78;23.53;1.26
https://www.avanza.se/aktier/om-aktien.html/5580/alfa-laval;3.28;14.13;1.4
https://www.avanza.se/aktier/om-aktien.html/5271/assa-abloy-b;1.56;24.46;2.75
https://www.avanza.se/aktier/om-aktien.html/5431/astrazeneca;5.26;26.82;3.16
https://www.avanza.se/aktier/om-aktien.html/5234/atlas-copco-a;2.99;22.54;2.55
https://www.avanza.se/aktier/om-aktien.html/5235/atlas-copco-b;2.99;22.54;2.55
https://www.avanza.se/aktier/om-aktien.html/5374/atrium-ljungberg-b;2.6;7.53;0.74
https://www.avanza.se/aktier/om-aktien.html/5236/autoliv-sdb;2.1;17.53;1.03
https://www.avanza.se/aktier/om-aktien.html/5465/axfood;5.65;23.53;0.79
https://www.avanza.se/aktier/om-aktien.html/5483/axis;0.19;35.04;3.39
https://www.avanza.se/aktier/om-aktien.html/5482/betsson-b;6.76;11.42;2.48
https://www.avanza.se/aktier/om-aktien.html/5556/billerudkorsnas;3.51;14.0;1.14
https://www.avanza.se/aktier/om-aktien.html/5564/boliden;2.05;18.04;1.12
https://www.avanza.se/aktier/om-aktien.html/663401/bonava-a;-99999.0;-99999.0;-99999.0
https://www.avanza.se/aktier/om-aktien.html/663399/bonava-b;-99999.0;-99999.0;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5353/castellum;3.61;7.41;6.65
https://www.avanza.se/aktier/om-aktien.html/487213/com-hem-holding;2.11;94.29;2.74
https://www.avanza.se/aktier/om-aktien.html/611718/dometic-group;0.0;15.02;1.35
https://www.avanza.se/aktier/om-aktien.html/5237/electrolux-a;2.9;30.67;0.53
https://www.avanza.se/aktier/om-aktien.html/5238/electrolux-b;2.9;30.67;0.53
https://www.avanza.se/aktier/om-aktien.html/5280/elekta-b;0.72;193.43;2.36
https://www.avanza.se/aktier/om-aktien.html/5239/ericsson-a;5.77;14.72;0.85
https://www.avanza.se/aktier/om-aktien.html/5240/ericsson-b;5.77;14.72;0.85
https://www.avanza.se/aktier/om-aktien.html/5300/fabege;2.47;5.59;11.64
https://www.avanza.se/aktier/om-aktien.html/5459/fast--balder-b;0.0;6.98;11.13
https://www.avanza.se/aktier/om-aktien.html/298607/fast--balder-pref;0.0;6.98;11.13
https://www.avanza.se/aktier/om-aktien.html/5468/fingerprint-cards-b;0.0;19.82;5.95
https://www.avanza.se/aktier/om-aktien.html/5282/getinge-b;1.67;28.38;1.34
https://www.avanza.se/aktier/om-aktien.html/5264/handelsbanken-a;5.98;11.62;4.69
https://www.avanza.se/aktier/om-aktien.html/5265/handelsbanken-b;5.98;11.62;4.69
https://www.avanza.se/aktier/om-aktien.html/5364/hennes---mauritz-b;3.96;21.74;2.2
https://www.avanza.se/aktier/om-aktien.html/5286/hexagon-b;1.32;21.66;3.84
https://www.avanza.se/aktier/om-aktien.html/130828/hexpol-b;2.0;20.96;2.65
https://www.avanza.se/aktier/om-aktien.html/5250/holmen-a;3.99;46.15;1.3
https://www.avanza.se/aktier/om-aktien.html/5251/holmen-b;3.99;46.15;1.3
https://www.avanza.se/aktier/om-aktien.html/5287/hufvudstaden-a;2.36;7.19;15.85
https://www.avanza.se/aktier/om-aktien.html/5288/hufvudstaden-c;2.36;7.19;15.85
https://www.avanza.se/aktier/om-aktien.html/45188/husqvarna-a;2.61;19.53;0.99
https://www.avanza.se/aktier/om-aktien.html/45189/husqvarna-b;2.61;19.53;0.99
https://www.avanza.se/aktier/om-aktien.html/31607/ica-gruppen;3.6;11.01;0.55
https://www.avanza.se/aktier/om-aktien.html/5244/industrivarden-a;3.44;-11.52;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5245/industrivarden-c;3.44;-11.52;-99999.0
https://www.avanza.se/aktier/om-aktien.html/26607/indutrade;1.86;21.07;1.58
https://www.avanza.se/aktier/om-aktien.html/5583/intrum-justitia;3.11;15.6;3.39
https://www.avanza.se/aktier/om-aktien.html/5246/investor-a;3.63;-8.05;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5247/investor-b;3.63;-8.05;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5501/jm;3.96;13.62;1.08
https://www.avanza.se/aktier/om-aktien.html/5368/kinnevik-a;12.86;-6.93;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5369/kinnevik-b;12.86;-6.93;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5594/klovern-a;3.73;4.32;3.11
https://www.avanza.se/aktier/om-aktien.html/523632/klovern-b;3.73;4.32;3.11
https://www.avanza.se/aktier/om-aktien.html/334718/klovern-pref;3.73;4.32;3.11
https://www.avanza.se/aktier/om-aktien.html/5321/latour-b;2.13;10.33;7.24
https://www.avanza.se/aktier/om-aktien.html/520898/lifco-b;1.26;26.18;2.64
https://www.avanza.se/aktier/om-aktien.html/154930/loomis-b;3.37;14.19;0.96
https://www.avanza.se/aktier/om-aktien.html/5375/lundbergforetagen-b;1.12;6.06;2.96
https://www.avanza.se/aktier/om-aktien.html/7010/lundin-mining-corp--sdb;0.0;-6.47;1.63
https://www.avanza.se/aktier/om-aktien.html/5698/lundin-petroleum;0.0;-10.95;8.84
https://www.avanza.se/aktier/om-aktien.html/5322/meda-a;1.64;44.91;2.88
https://www.avanza.se/aktier/om-aktien.html/60889/melker-schorling;0.6;16.99;-99999.0
https://www.avanza.se/aktier/om-aktien.html/6048/millicom-int--cellular-sdb;4.36;-13.04;1.01
https://www.avanza.se/aktier/om-aktien.html/5437/modern-times-group-a;5.23;-190.39;0.9
https://www.avanza.se/aktier/om-aktien.html/5438/modern-times-group-b;5.23;-190.39;0.9
https://www.avanza.se/aktier/om-aktien.html/5293/ncc-a;1.6;9.42;0.34
https://www.avanza.se/aktier/om-aktien.html/5294/ncc-b;1.6;9.42;0.34
https://www.avanza.se/aktier/om-aktien.html/158928/netent-b;1.65;45.99;15.9
https://www.avanza.se/aktier/om-aktien.html/5325/nibe-industrier-b;1.2;24.22;2.3
https://www.avanza.se/aktier/om-aktien.html/5586/nobia;3.41;14.51;0.92
https://www.avanza.se/aktier/om-aktien.html/5249/nordea-bank;8.5;9.03;3.12
https://www.avanza.se/aktier/om-aktien.html/572898/pandox-b;2.9;9.23;5.48
https://www.avanza.se/aktier/om-aktien.html/5330/peab-b;4.14;22.24;0.42
https://www.avanza.se/aktier/om-aktien.html/5396/ratos-a;7.98;25.91;0.53
https://www.avanza.se/aktier/om-aktien.html/5397/ratos-b;7.98;25.91;0.53
https://www.avanza.se/aktier/om-aktien.html/421659/ratos-pref;7.98;25.91;0.53
https://www.avanza.se/aktier/om-aktien.html/653461/resurs-holding;-99999.0;-99999.0;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5401/saab-b;1.92;18.45;0.96
https://www.avanza.se/aktier/om-aktien.html/5471/sandvik;3.04;22.73;1.26
https://www.avanza.se/aktier/om-aktien.html/5262/sca-a;2.17;25.76;1.61
https://www.avanza.se/aktier/om-aktien.html/5263/sca-b;2.17;25.76;1.61
https://www.avanza.se/aktier/om-aktien.html/5255/seb-a;7.22;16.62;3.75
https://www.avanza.se/aktier/om-aktien.html/5256/seb-c;7.22;16.62;3.75
https://www.avanza.se/aktier/om-aktien.html/5270/securitas-b;2.75;18.72;0.57
https://www.avanza.se/aktier/om-aktien.html/5257/skanska-b;4.35;15.75;0.47
https://www.avanza.se/aktier/om-aktien.html/5258/skf-a;4.07;16.0;0.83
https://www.avanza.se/aktier/om-aktien.html/5259/skf-b;4.07;16.0;0.83
https://www.avanza.se/aktier/om-aktien.html/5260/ssab-a;0.0;-12.9;0.22
https://www.avanza.se/aktier/om-aktien.html/5261/ssab-b;0.0;-12.9;0.22
https://www.avanza.se/aktier/om-aktien.html/5421/stora-enso-a;4.64;7.04;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5422/stora-enso-r;4.64;7.04;-99999.0
https://www.avanza.se/aktier/om-aktien.html/5408/sweco-a;2.45;39.74;1.34
https://www.avanza.se/aktier/om-aktien.html/5409/sweco-b;2.45;39.74;1.34
https://www.avanza.se/aktier/om-aktien.html/5241/swedbank-a;6.09;12.39;5.22
https://www.avanza.se/aktier/om-aktien.html/5266/swedish-match;6.84;15.83;3.76
https://www.avanza.se/aktier/om-aktien.html/51308/swedish-orphan-biovitrum;0.0;102.17;7.39
https://www.avanza.se/aktier/om-aktien.html/5385/tele2-a;7.48;28.41;1.19
https://www.avanza.se/aktier/om-aktien.html/5386/tele2-b;7.48;28.41;1.19
https://www.avanza.se/aktier/om-aktien.html/5479/telia-company;7.84;19.2;2.04
https://www.avanza.se/aktier/om-aktien.html/5455/tieto-oyj;5.58;17.41;1.23
https://www.avanza.se/aktier/om-aktien.html/5267/trelleborg-b;2.72;16.33;1.63
https://www.avanza.se/aktier/om-aktien.html/56267/unibet-group;3.54;25.67;3.79
https://www.avanza.se/aktier/om-aktien.html/5268/volvo-a;3.65;11.45;0.54
https://www.avanza.se/aktier/om-aktien.html/5269/volvo-b;3.65;11.45;0.54
https://www.avanza.se/aktier/om-aktien.html/5344/wallenstam-b;2.21;7.86;14.45
https://www.avanza.se/aktier/om-aktien.html/18813/wihlborgs-fastigheter;3.05;6.12;6.73
